"Time (s) Run #1","Output Voltage, Ch V (V) Run #1","Voltage, Ch A (V) Run #1","Time (s) Run #2","Output Voltage, Ch V (V) Run #2","Voltage, Ch A (V) Run #2","Time (s) Run #3","Output Voltage, Ch V (V) Run #3","Voltage, Ch A (V) Run #3","Time (s) Run #4","Output Voltage, Ch V (V) Run #4","Voltage, Ch A (V) Run #4","Time (s) Run #5","Output Voltage, Ch V (V) Run #5","Voltage, Ch A (V) Run #5","Time (s) Run #6","Output Voltage, Ch V (V) Run #6","Voltage, Ch A (V) Run #6","Time (s) Run #7","Output Voltage, Ch V (V) Run #7","Voltage, Ch A (V) Run #7","Time (s) Run #8","Output Voltage, Ch V (V) Run #8","Voltage, Ch A (V) Run #8","Time (s) Run #9","Output Voltage, Ch V (V) Run #9","Voltage, Ch A (V) Run #9","Time (s) Run #10","Output Voltage, Ch V (V) Run #10","Voltage, Ch A (V) Run #10","Time (s) Run #11","Output Voltage, Ch V (V) Run #11","Voltage, Ch A (V) Run #11","Time (s) Run #12","Output Voltage, Ch V (V) Run #12","Voltage, Ch A (V) Run #12","Time (s) Run #13","Output Voltage, Ch V (V) Run #13","Voltage, Ch A (V) Run #13","Time (s) Run #14","Output Voltage, Ch V (V) Run #14","Voltage, Ch A (V) Run #14","Time (s) Run #15","Output Voltage, Ch V (V) Run #15","Voltage, Ch A (V) Run #15","Time (s) Run #16","Output Voltage, Ch V (V) Run #16","Voltage, Ch A (V) Run #16","Time (s) Run #17","Output Voltage, Ch V (V) Run #17","Voltage, Ch A (V) Run #17","Time (s) Run #18","Output Voltage, Ch V (V) Run #18","Voltage, Ch A (V) Run #18","Time (s) Run #19","Output Voltage, Ch V (V) Run #19","Voltage, Ch A (V) Run #19","Time (s) Run #20","Output Voltage, Ch V (V) Run #20","Voltage, Ch A (V) Run #20","Time (s) Run #21","Output Voltage, Ch V (V) Run #21","Voltage, Ch A (V) Run #21"
3.400E-4,4.969,0.018,3.400E-4,-1.164,0.029,3.400E-4,3.202,0.036,3.400E-4,4.783,0.024,3.400E-4,4.970,0.027,3.400E-4,4.253,0.029,3.400E-4,4.950,0.090,3.400E-4,2.283,0.074,3.400E-4,-0.629,-0.020,3.400E-4,-4.955,-0.087,3.400E-4,4.768,0.116,3.400E-4,2.341,0.043,3.400E-4,1.987,0.068,3.400E-4,4.151,0.117,3.400E-4,-1.620,-0.032,3.400E-4,-4.959,-0.086,3.400E-4,2.303,0.071,3.400E-4,-4.916,-0.111,3.400E-4,0.777,-0.049,3.400E-4,-4.782,-0.029,3.400E-4,4.520,0.018
3.420E-4,4.966,0.016,3.420E-4,-1.107,0.033,3.420E-4,3.243,0.033,3.420E-4,4.806,0.024,3.420E-4,4.973,0.028,3.420E-4,4.076,0.022,3.420E-4,4.826,0.082,3.420E-4,3.316,0.094,3.420E-4,-1.825,-0.038,3.420E-4,-4.710,-0.077,3.420E-4,4.992,0.119,3.420E-4,1.159,0.021,3.420E-4,3.066,0.090,3.420E-4,4.724,0.122,3.420E-4,-2.726,-0.058,3.420E-4,-4.955,-0.077,3.420E-4,2.843,0.082,3.420E-4,-3.696,-0.104,3.420E-4,0.464,-0.051,3.420E-4,-4.818,-0.023,3.420E-4,4.544,0.018
3.440E-4,4.970,0.016,3.440E-4,-1.039,0.030,3.440E-4,3.287,0.032,3.440E-4,4.825,0.023,3.440E-4,4.969,0.028,3.440E-4,3.888,0.019,3.440E-4,4.631,0.076,3.440E-4,4.147,0.111,3.440E-4,-2.924,-0.058,3.440E-4,-4.179,-0.062,3.440E-4,4.903,0.111,3.440E-4,-0.091,-0.004,3.440E-4,3.955,0.106,3.440E-4,4.988,0.129,3.440E-4,-3.683,-0.084,3.440E-4,-4.867,-0.072,3.440E-4,3.329,0.087,3.440E-4,-1.059,-0.056,3.440E-4,0.155,-0.060,3.440E-4,-4.854,-0.025,3.440E-4,4.569,0.016
3.460E-4,4.978,0.017,3.460E-4,-0.979,0.029,3.460E-4,3.332,0.032,3.460E-4,4.841,0.025,3.460E-4,4.968,0.028,3.460E-4,3.695,0.019,3.460E-4,4.360,0.061,3.460E-4,4.715,0.119,3.460E-4,-3.842,-0.081,3.460E-4,-3.389,-0.043,3.460E-4,4.525,0.096,3.460E-4,-1.314,-0.031,3.460E-4,4.590,0.121,3.460E-4,4.940,0.129,3.460E-4,-4.395,-0.100,3.460E-4,-4.710,-0.064,3.460E-4,3.771,0.089,3.460E-4,2.014,0.011,3.460E-4,-0.163,-0.064,3.460E-4,-4.884,-0.028,3.460E-4,4.588,0.011
3.480E-4,4.983,0.017,3.480E-4,-0.913,0.035,3.480E-4,3.379,0.029,3.480E-4,4.852,0.021,3.480E-4,4.968,0.027,3.480E-4,3.484,0.016,3.480E-4,4.021,0.052,3.480E-4,4.975,0.121,3.480E-4,-4.512,-0.092,3.480E-4,-2.382,-0.022,3.480E-4,3.860,0.079,3.480E-4,-2.455,-0.050,3.480E-4,4.941,0.127,3.480E-4,4.599,0.119,3.480E-4,-4.838,-0.104,3.480E-4,-4.480,-0.056,3.480E-4,4.154,0.095,3.480E-4,4.309,0.073,3.480E-4,-0.467,-0.062,3.480E-4,-4.910,-0.025,3.480E-4,4.618,0.013
3.500E-4,4.980,0.017,3.500E-4,-0.856,0.035,3.500E-4,3.432,0.032,3.500E-4,4.873,0.021,3.500E-4,4.963,0.025,3.500E-4,3.246,0.012,3.500E-4,3.616,0.041,3.500E-4,4.924,0.116,3.500E-4,-4.901,-0.093,3.500E-4,-1.218,-0.001,3.500E-4,2.958,0.057,3.500E-4,-3.467,-0.069,3.500E-4,4.967,0.127,3.500E-4,3.961,0.099,3.500E-4,-4.967,-0.104,3.500E-4,-4.179,-0.051,3.500E-4,4.474,0.099,3.500E-4,4.953,0.109,3.500E-4,-0.781,-0.066,3.500E-4,-4.929,-0.022,3.500E-4,4.638,0.015
3.520E-4,4.978,0.016,3.520E-4,-0.801,0.033,3.520E-4,3.467,0.032,3.520E-4,4.892,0.025,3.520E-4,4.951,0.024,3.520E-4,3.008,0.005,3.520E-4,3.159,0.030,3.520E-4,4.582,0.105,3.520E-4,-4.975,-0.088,3.520E-4,0.014,0.024,3.520E-4,1.860,0.030,3.520E-4,-4.257,-0.083,3.520E-4,4.707,0.121,3.520E-4,3.086,0.080,3.520E-4,-4.771,-0.100,3.520E-4,-3.805,-0.043,3.520E-4,4.714,0.105,3.520E-4,3.741,0.101,3.520E-4,-1.087,-0.072,3.520E-4,-4.954,-0.025,3.520E-4,4.658,0.019
3.540E-4,4.975,0.017,3.540E-4,-0.736,0.034,3.540E-4,3.509,0.029,3.540E-4,4.898,0.024,3.540E-4,4.933,0.023,3.540E-4,2.750,0.001,3.540E-4,2.648,0.021,3.540E-4,3.940,0.087,3.540E-4,-4.734,-0.080,3.540E-4,1.264,0.052,3.540E-4,0.647,0.011,3.540E-4,-4.767,-0.084,3.540E-4,4.140,0.104,3.540E-4,2.019,0.052,3.540E-4,-4.279,-0.082,3.540E-4,-3.377,-0.034,3.540E-4,4.880,0.104,3.540E-4,1.123,0.054,3.540E-4,-1.398,-0.076,3.540E-4,-4.966,-0.025,3.540E-4,4.686,0.019
3.560E-4,4.972,0.018,3.560E-4,-0.669,0.036,3.560E-4,3.552,0.030,3.560E-4,4.909,0.022,3.560E-4,4.914,0.025,3.560E-4,2.488,-0.006,3.560E-4,2.102,0.011,3.560E-4,3.067,0.062,3.560E-4,-4.193,-0.061,3.560E-4,2.423,0.074,3.560E-4,-0.606,-0.017,3.560E-4,-4.990,-0.087,3.560E-4,3.329,0.084,3.560E-4,0.810,0.025,3.560E-4,-3.523,-0.061,3.560E-4,-2.891,-0.022,3.560E-4,4.969,0.101,3.560E-4,-1.935,-0.011,3.560E-4,-1.691,-0.077,3.560E-4,-4.979,-0.021,3.560E-4,4.706,0.021
3.580E-4,4.970,0.019,3.580E-4,-0.611,0.033,3.580E-4,3.594,0.032,3.580E-4,4.925,0.024,3.580E-4,4.900,0.027,3.580E-4,2.212,-0.007,3.580E-4,1.517,0.003,3.580E-4,1.994,0.038,3.580E-4,-3.401,-0.037,3.580E-4,3.437,0.094,3.580E-4,-1.815,-0.042,3.580E-4,-4.881,-0.076,3.580E-4,2.311,0.056,3.580E-4,-0.457,-0.007,3.580E-4,-2.545,-0.040,3.580E-4,-2.363,-0.006,3.580E-4,4.977,0.094,3.580E-4,-4.246,-0.077,3.580E-4,-1.985,-0.083,3.580E-4,-4.989,-0.017,3.580E-4,4.721,0.018
3.600E-4,4.970,0.016,3.600E-4,-0.543,0.033,3.600E-4,3.640,0.034,3.600E-4,4.942,0.021,3.600E-4,4.873,0.025,3.600E-4,1.932,-0.014,3.600E-4,0.915,-0.011,3.600E-4,0.787,0.007,3.600E-4,-2.393,-0.016,3.600E-4,4.237,0.105,3.600E-4,-2.905,-0.062,3.600E-4,-4.461,-0.062,3.600E-4,1.122,0.025,3.600E-4,-1.658,-0.039,3.600E-4,-1.404,-0.016,3.600E-4,-1.804,0.007,3.600E-4,4.914,0.089,3.600E-4,-4.914,-0.114,3.600E-4,-2.273,-0.081,3.600E-4,-4.998,-0.017,3.600E-4,4.742,0.015
3.620E-4,4.967,0.017,3.620E-4,-0.480,0.033,3.620E-4,3.680,0.032,3.620E-4,4.949,0.022,3.620E-4,4.847,0.023,3.620E-4,1.638,-0.015,3.620E-4,0.284,-0.023,3.620E-4,-0.457,-0.018,3.620E-4,-1.223,0.010,3.620E-4,4.765,0.112,3.620E-4,-3.831,-0.078,3.620E-4,-3.780,-0.049,3.620E-4,-0.131,-0.005,3.620E-4,-2.766,-0.065,3.620E-4,-0.165,0.012,3.620E-4,-1.205,0.017,3.620E-4,4.775,0.079,3.620E-4,-3.694,-0.108,3.620E-4,-2.539,-0.081,3.620E-4,-4.998,-0.015,3.620E-4,4.761,0.013
3.640E-4,4.969,0.016,3.640E-4,-0.415,0.032,3.640E-4,3.723,0.035,3.640E-4,4.962,0.022,3.640E-4,4.822,0.019,3.640E-4,1.338,-0.015,3.640E-4,-0.338,-0.033,3.640E-4,-1.663,-0.042,3.640E-4,0.025,0.036,3.640E-4,4.988,0.111,3.640E-4,-4.508,-0.092,3.640E-4,-2.853,-0.031,3.640E-4,-1.359,-0.037,3.640E-4,-3.712,-0.084,3.640E-4,1.068,0.045,3.640E-4,-0.585,0.033,3.640E-4,4.558,0.069,3.640E-4,-1.040,-0.064,3.640E-4,-2.809,-0.082,3.640E-4,-4.999,-0.016,3.640E-4,4.784,0.013
3.660E-4,4.961,0.016,3.660E-4,-0.349,0.033,3.660E-4,3.762,0.033,3.660E-4,4.967,0.021,3.660E-4,4.791,0.018,3.660E-4,1.033,-0.023,3.660E-4,-0.958,-0.043,3.660E-4,-2.774,-0.061,3.660E-4,1.267,0.061,3.660E-4,4.895,0.104,3.660E-4,-4.907,-0.094,3.660E-4,-1.753,-0.006,3.660E-4,-2.497,-0.060,3.660E-4,-4.423,-0.099,3.660E-4,2.247,0.069,3.660E-4,0.033,0.045,3.660E-4,4.275,0.062,3.660E-4,2.014,-1.052E-4,3.660E-4,-3.063,-0.084,3.660E-4,-4.999,-0.016,3.660E-4,4.798,0.010
3.680E-4,4.955,0.014,3.680E-4,-0.286,0.033,3.680E-4,3.807,0.034,3.680E-4,4.968,0.016,3.680E-4,4.758,0.019,3.680E-4,0.726,-0.023,3.680E-4,-1.564,-0.047,3.680E-4,-3.715,-0.080,3.680E-4,2.427,0.077,3.680E-4,4.518,0.093,3.680E-4,-4.979,-0.094,3.680E-4,-0.534,0.017,3.680E-4,-3.496,-0.075,3.680E-4,-4.865,-0.106,3.680E-4,3.291,0.096,3.680E-4,0.659,0.056,3.680E-4,3.915,0.051,3.680E-4,4.311,0.066,3.680E-4,-3.306,-0.082,3.680E-4,-4.988,-0.015,3.680E-4,4.817,0.011
3.700E-4,4.950,0.017,3.700E-4,-0.217,0.038,3.700E-4,3.843,0.032,3.700E-4,4.975,0.014,3.700E-4,4.717,0.017,3.700E-4,0.415,-0.026,3.700E-4,-2.151,-0.054,3.700E-4,-4.422,-0.092,3.700E-4,3.437,0.099,3.700E-4,3.856,0.076,3.700E-4,-4.738,-0.080,3.700E-4,0.715,0.044,3.700E-4,-4.275,-0.088,3.700E-4,-4.982,-0.104,3.700E-4,4.126,0.115,3.700E-4,1.272,0.067,3.700E-4,3.501,0.043,3.700E-4,4.955,0.106,3.700E-4,-3.540,-0.084,3.700E-4,-4.979,-0.012,3.700E-4,4.837,0.011
3.720E-4,4.950,0.017,3.720E-4,-0.160,0.035,3.720E-4,3.884,0.034,3.720E-4,4.990,0.019,3.720E-4,4.676,0.016,3.720E-4,0.100,-0.033,3.720E-4,-2.700,-0.061,3.720E-4,-4.852,-0.098,3.720E-4,4.239,0.113,3.720E-4,2.948,0.057,3.720E-4,-4.207,-0.065,3.720E-4,1.922,0.068,3.720E-4,-4.783,-0.097,3.720E-4,-4.776,-0.095,3.720E-4,4.709,0.126,3.720E-4,1.867,0.077,3.720E-4,3.039,0.034,3.720E-4,3.746,0.100,3.720E-4,-3.750,-0.086,3.720E-4,-4.962,-0.011,3.720E-4,4.848,0.016
3.740E-4,4.939,0.018,3.740E-4,-0.091,0.038,3.740E-4,3.923,0.035,3.740E-4,4.990,0.021,3.740E-4,4.638,0.016,3.740E-4,-0.217,-0.038,3.740E-4,-3.203,-0.067,3.740E-4,-4.965,-0.099,3.740E-4,4.775,0.123,3.740E-4,1.858,0.033,3.740E-4,-3.416,-0.044,3.740E-4,3.014,0.087,3.740E-4,-4.993,-0.103,3.740E-4,-4.286,-0.083,3.740E-4,4.979,0.129,3.740E-4,2.431,0.085,3.740E-4,2.514,0.018,3.740E-4,1.118,0.055,3.740E-4,-3.955,-0.086,3.740E-4,-4.949,-0.010,3.740E-4,4.864,0.016
3.760E-4,4.933,0.016,3.760E-4,-0.023,0.035,3.760E-4,3.962,0.033,3.760E-4,4.992,0.016,3.760E-4,4.591,0.016,3.760E-4,-0.528,-0.040,3.760E-4,-3.664,-0.073,3.760E-4,-4.759,-0.088,3.760E-4,4.990,0.121,3.760E-4,0.627,0.008,3.760E-4,-2.406,-0.017,3.760E-4,3.906,0.102,3.760E-4,-4.857,-0.095,3.760E-4,-3.526,-0.065,3.760E-4,4.930,0.124,3.760E-4,2.953,0.095,3.760E-4,1.954,-0.001,3.760E-4,-1.941,-0.011,3.760E-4,-4.144,-0.082,3.760E-4,-4.929,-0.012,3.760E-4,4.881,0.015
3.780E-4,4.920,0.014,3.780E-4,0.036,0.033,3.780E-4,4.001,0.034,3.780E-4,5.001,0.013,3.780E-4,4.538,0.014,3.780E-4,-0.838,-0.042,3.780E-4,-4.055,-0.077,3.780E-4,-4.260,-0.076,3.780E-4,4.903,0.111,3.780E-4,-0.612,-0.016,3.780E-4,-1.251,0.006,3.780E-4,4.555,0.112,3.780E-4,-4.446,-0.084,3.780E-4,-2.538,-0.040,3.780E-4,4.601,0.111,3.780E-4,3.432,0.104,3.780E-4,1.374,-0.014,3.780E-4,-4.247,-0.075,3.780E-4,-4.309,-0.088,3.780E-4,-4.905,-0.009,3.780E-4,4.892,0.007
3.800E-4,4.912,0.013,3.800E-4,0.094,0.030,3.800E-4,4.042,0.034,3.800E-4,5.002,0.014,3.800E-4,4.476,0.010,3.800E-4,-1.151,-0.044,3.800E-4,-4.387,-0.080,3.800E-4,-3.495,-0.058,3.800E-4,4.526,0.095,3.800E-4,-1.811,-0.038,3.800E-4,-0.001,0.033,3.800E-4,4.917,0.118,3.800E-4,-3.743,-0.064,3.800E-4,-1.400,-0.015,3.800E-4,3.973,0.096,3.800E-4,3.863,0.108,3.800E-4,0.755,-0.031,3.800E-4,-4.920,-0.110,3.800E-4,-4.463,-0.084,3.800E-4,-4.877,-0.009,3.800E-4,4.914,0.008
3.820E-4,4.908,0.013,3.820E-4,0.160,0.030,3.820E-4,4.071,0.030,3.820E-4,5.001,0.012,3.820E-4,4.424,0.007,3.820E-4,-1.454,-0.049,3.820E-4,-4.655,-0.078,3.820E-4,-2.500,-0.028,3.820E-4,3.865,0.077,3.820E-4,-2.912,-0.061,3.820E-4,1.236,0.057,3.820E-4,4.951,0.108,3.820E-4,-2.820,-0.043,3.820E-4,-0.167,0.013,3.820E-4,3.104,0.080,3.820E-4,4.225,0.112,3.820E-4,0.130,-0.038,3.820E-4,-3.696,-0.105,3.820E-4,-4.588,-0.079,3.820E-4,-4.849,-0.011,3.820E-4,4.930,0.011
3.840E-4,4.897,0.016,3.840E-4,0.229,0.030,3.840E-4,4.111,0.028,3.840E-4,5.001,0.012,3.840E-4,4.370,0.007,3.840E-4,-1.748,-0.049,3.840E-4,-4.846,-0.077,3.840E-4,-1.361,-0.004,3.840E-4,2.958,0.055,3.840E-4,-3.831,-0.076,3.840E-4,2.401,0.080,3.840E-4,4.698,0.096,3.840E-4,-1.710,-0.016,3.840E-4,1.070,0.043,3.840E-4,2.042,0.054,3.840E-4,4.524,0.112,3.840E-4,-0.493,-0.050,3.840E-4,-1.063,-0.062,3.840E-4,-4.708,-0.075,3.840E-4,-4.817,-0.010,3.840E-4,4.934,0.010
3.860E-4,4.890,0.016,3.860E-4,0.292,0.034,3.860E-4,4.149,0.025,3.860E-4,5.000,0.017,3.860E-4,4.311,0.008,3.860E-4,-2.044,-0.049,3.860E-4,-4.964,-0.072,3.860E-4,-0.126,0.023,3.860E-4,1.870,0.027,3.860E-4,-4.506,-0.082,3.860E-4,3.406,0.095,3.860E-4,4.149,0.079,3.860E-4,-0.485,0.018,3.860E-4,2.252,0.071,3.860E-4,0.831,0.027,3.860E-4,4.752,0.116,3.860E-4,-1.104,-0.057,3.860E-4,2.004,0.002,3.860E-4,-4.802,-0.071,3.860E-4,-4.780,-0.010,3.860E-4,4.950,0.008
3.880E-4,4.878,0.016,3.880E-4,0.354,0.032,3.880E-4,4.179,0.028,3.880E-4,4.994,0.017,3.880E-4,4.247,0.005,3.880E-4,-2.318,-0.051,3.880E-4,-5.003,-0.067,3.880E-4,1.112,0.047,3.880E-4,0.652,0.003,3.880E-4,-4.907,-0.083,3.880E-4,4.209,0.107,3.880E-4,3.345,0.063,3.880E-4,0.763,0.046,3.880E-4,3.291,0.101,3.880E-4,-0.424,-0.001,3.880E-4,4.902,0.116,3.880E-4,-1.706,-0.064,3.880E-4,4.306,0.071,3.880E-4,-4.883,-0.072,3.880E-4,-4.740,-0.009,3.880E-4,4.958,0.011
3.900E-4,4.873,0.016,3.900E-4,0.416,0.032,3.900E-4,4.217,0.028,3.900E-4,4.995,0.016,3.900E-4,4.178,0.005,3.900E-4,-2.599,-0.049,3.900E-4,-4.948,-0.061,3.900E-4,2.290,0.072,3.900E-4,-0.597,-0.022,3.900E-4,-4.981,-0.082,3.900E-4,4.742,0.115,3.900E-4,2.325,0.043,3.900E-4,1.963,0.076,3.900E-4,4.120,0.121,3.900E-4,-1.632,-0.033,3.900E-4,4.968,0.107,3.900E-4,-2.282,-0.071,3.900E-4,4.938,0.115,3.900E-4,-4.939,-0.070,3.900E-4,-4.701,-0.004,3.900E-4,4.968,0.012
3.920E-4,4.855,0.014,3.920E-4,0.480,0.032,3.920E-4,4.256,0.032,3.920E-4,4.991,0.014,3.920E-4,4.114,0.006,3.920E-4,-2.863,-0.050,3.920E-4,-4.821,-0.053,3.920E-4,3.318,0.091,3.920E-4,-1.807,-0.045,3.920E-4,-4.735,-0.073,3.920E-4,4.972,0.122,3.920E-4,1.151,0.016,3.920E-4,3.044,0.096,3.920E-4,4.693,0.130,3.920E-4,-2.750,-0.062,3.920E-4,4.960,0.104,3.920E-4,-2.821,-0.082,3.920E-4,3.723,0.107,3.920E-4,-4.973,-0.066,3.920E-4,-4.657,-0.004,3.920E-4,4.978,0.013
3.940E-4,4.840,0.012,3.940E-4,0.541,0.028,3.940E-4,4.294,0.032,3.940E-4,4.983,0.011,3.940E-4,4.038,0.006,3.940E-4,-3.106,-0.049,3.940E-4,-4.619,-0.043,3.940E-4,4.145,0.108,3.940E-4,-2.897,-0.065,3.940E-4,-4.212,-0.058,3.940E-4,4.884,0.116,3.940E-4,-0.092,-0.005,3.940E-4,3.932,0.116,3.940E-4,4.957,0.134,3.940E-4,-3.700,-0.084,3.940E-4,4.883,0.102,3.940E-4,-3.308,-0.090,3.940E-4,1.109,0.062,3.940E-4,-4.993,-0.061,3.940E-4,-4.611,-0.004,3.940E-4,4.986,0.010
3.960E-4,4.829,0.012,3.960E-4,0.603,0.028,3.960E-4,4.322,0.030,3.960E-4,4.975,0.010,3.960E-4,3.962,0.002,3.960E-4,-3.350,-0.044,3.960E-4,-4.346,-0.038,3.960E-4,4.709,0.118,3.960E-4,-3.814,-0.077,3.960E-4,-3.418,-0.039,3.960E-4,4.510,0.101,3.960E-4,-1.319,-0.031,3.960E-4,4.573,0.127,3.960E-4,4.906,0.130,3.960E-4,-4.417,-0.098,3.960E-4,4.721,0.096,3.960E-4,-3.751,-0.098,3.960E-4,-1.964,-0.006,3.960E-4,-5.003,-0.061,3.960E-4,-4.563,-0.005,3.960E-4,4.992,0.010
3.980E-4,4.812,0.012,3.980E-4,0.670,0.028,3.980E-4,4.355,0.028,3.980E-4,4.975,0.011,3.980E-4,3.883,0.003,3.980E-4,-3.578,-0.045,3.980E-4,-4.009,-0.029,3.980E-4,4.974,0.119,3.980E-4,-4.494,-0.092,3.980E-4,-2.409,-0.020,3.980E-4,3.840,0.080,3.980E-4,-2.457,-0.054,3.980E-4,4.927,0.130,3.980E-4,4.569,0.122,3.980E-4,-4.856,-0.099,3.980E-4,4.488,0.085,3.980E-4,-4.130,-0.101,3.980E-4,-4.265,-0.075,3.980E-4,-4.975,-0.059,3.980E-4,-4.517,-0.006,3.980E-4,4.995,0.005
4.000E-4,4.798,0.007,4.000E-4,0.730,0.025,4.000E-4,4.385,0.027,4.000E-4,4.966,0.014,4.000E-4,3.810,0.001,4.000E-4,-3.799,-0.050,4.000E-4,-3.601,-0.017,4.000E-4,4.914,0.117,4.000E-4,-4.890,-0.099,4.000E-4,-1.244,0.003,4.000E-4,2.945,0.057,4.000E-4,-3.457,-0.070,4.000E-4,4.955,0.132,4.000E-4,3.941,0.101,4.000E-4,-4.988,-0.099,4.000E-4,4.189,0.074,4.000E-4,-4.446,-0.104,4.000E-4,-4.933,-0.115,4.000E-4,-4.927,-0.051,4.000E-4,-4.457,-0.006,4.000E-4,5.000,0.004
4.020E-4,4.780,0.006,4.020E-4,0.790,0.028,4.020E-4,4.418,0.025,4.020E-4,4.957,0.014,4.020E-4,3.724,-1.699E-4,4.020E-4,-3.998,-0.049,4.020E-4,-3.142,-0.006,4.020E-4,4.573,0.104,4.020E-4,-4.959,-0.093,4.020E-4,-0.004,0.032,4.020E-4,1.859,0.033,4.020E-4,-4.247,-0.080,4.020E-4,4.686,0.126,4.020E-4,3.064,0.082,4.020E-4,-4.793,-0.091,4.020E-4,3.822,0.061,4.020E-4,-4.695,-0.099,4.020E-4,-3.706,-0.106,4.020E-4,-4.866,-0.045,4.020E-4,-4.400,-0.003,4.020E-4,5.003,0.007
4.040E-4,4.767,0.010,4.040E-4,0.846,0.025,4.040E-4,4.446,0.021,4.040E-4,4.945,0.014,4.040E-4,3.640,0.001,4.040E-4,-4.174,-0.043,4.040E-4,-2.630,0.006,4.040E-4,3.932,0.088,4.040E-4,-4.716,-0.081,4.040E-4,1.239,0.055,4.040E-4,0.638,0.003,4.040E-4,-4.757,-0.089,4.040E-4,4.127,0.111,4.040E-4,2.001,0.057,4.040E-4,-4.311,-0.078,4.040E-4,3.401,0.054,4.040E-4,-4.873,-0.097,4.040E-4,-1.072,-0.059,4.040E-4,-4.787,-0.044,4.040E-4,-4.341,-0.003,4.040E-4,5.002,0.010
4.060E-4,4.747,0.008,4.060E-4,0.915,0.025,4.060E-4,4.480,0.021,4.060E-4,4.933,0.012,4.060E-4,3.548,0.003,4.060E-4,-4.342,-0.045,4.060E-4,-2.075,0.019,4.060E-4,3.058,0.065,4.060E-4,-4.188,-0.067,4.060E-4,2.405,0.083,4.060E-4,-0.607,-0.023,4.060E-4,-4.971,-0.088,4.060E-4,3.323,0.090,4.060E-4,0.792,0.024,4.060E-4,-3.560,-0.062,4.060E-4,2.912,0.040,4.060E-4,-4.961,-0.094,4.060E-4,1.994,0.010,4.060E-4,-4.683,-0.042,4.060E-4,-4.278,-1.052E-4,4.060E-4,5.005,0.010
4.080E-4,4.731,0.008,4.080E-4,0.980,0.030,4.080E-4,4.507,0.029,4.080E-4,4.925,0.013,4.080E-4,3.460,0.003,4.080E-4,-4.486,-0.044,4.080E-4,-1.492,0.033,4.080E-4,1.979,0.038,4.080E-4,-3.390,-0.045,4.080E-4,3.415,0.099,4.080E-4,-1.808,-0.045,4.080E-4,-4.855,-0.080,4.080E-4,2.306,0.065,4.080E-4,-0.465,-0.006,4.080E-4,-2.576,-0.039,4.080E-4,2.381,0.030,4.080E-4,-4.971,-0.086,4.080E-4,4.294,0.079,4.080E-4,-4.566,-0.034,4.080E-4,-4.213,0.002,4.080E-4,5.002,0.011
4.100E-4,4.712,0.007,4.100E-4,1.042,0.033,4.100E-4,4.531,0.028,4.100E-4,4.919,0.019,4.100E-4,3.362,-0.004,4.100E-4,-4.613,-0.040,4.100E-4,-0.890,0.041,4.100E-4,0.764,0.013,4.100E-4,-2.388,-0.022,4.100E-4,4.217,0.110,4.100E-4,-2.897,-0.064,4.100E-4,-4.445,-0.067,4.100E-4,1.120,0.033,4.100E-4,-1.665,-0.037,4.100E-4,-1.435,-0.015,4.100E-4,1.824,0.019,4.100E-4,-4.900,-0.083,4.100E-4,4.924,0.115,4.100E-4,-4.431,-0.029,4.100E-4,-4.143,0.004,4.100E-4,5.007,0.015
4.120E-4,4.691,0.005,4.120E-4,1.095,0.030,4.120E-4,4.558,0.023,4.120E-4,4.902,0.018,4.120E-4,3.269,-0.006,4.120E-4,-4.729,-0.038,4.120E-4,-0.265,0.047,4.120E-4,-0.485,-0.014,4.120E-4,-1.228,0.003,4.120E-4,4.751,0.113,4.120E-4,-3.821,-0.077,4.120E-4,-3.755,-0.051,4.120E-4,-0.126,0.002,4.120E-4,-2.775,-0.061,4.120E-4,-0.200,0.016,4.120E-4,1.223,0.005,4.120E-4,-4.766,-0.083,4.120E-4,3.727,0.107,4.120E-4,-4.282,-0.028,4.120E-4,-4.072,0.006,4.120E-4,4.999,0.008
4.140E-4,4.669,0.006,4.140E-4,1.152,0.032,4.140E-4,4.590,0.022,4.140E-4,4.886,0.011,4.140E-4,3.172,-0.003,4.140E-4,-4.823,-0.040,4.140E-4,0.366,0.057,4.140E-4,-1.692,-0.038,4.140E-4,0.016,0.033,4.140E-4,4.973,0.116,4.140E-4,-4.490,-0.088,4.140E-4,-2.832,-0.034,4.140E-4,-1.348,-0.028,4.140E-4,-3.716,-0.081,4.140E-4,1.046,0.051,4.140E-4,0.617,-0.009,4.140E-4,-4.544,-0.078,4.140E-4,1.100,0.063,4.140E-4,-4.104,-0.020,4.140E-4,-3.997,0.006,4.140E-4,4.995,0.001
4.160E-4,4.647,0.006,4.160E-4,1.213,0.028,4.160E-4,4.612,0.023,4.160E-4,4.875,0.012,4.160E-4,3.070,-0.004,4.160E-4,-4.890,-0.034,4.160E-4,0.990,0.067,4.160E-4,-2.796,-0.059,4.160E-4,1.255,0.057,4.160E-4,4.889,0.113,4.160E-4,-4.881,-0.092,4.160E-4,-1.730,-0.010,4.160E-4,-2.487,-0.054,4.160E-4,-4.423,-0.097,4.160E-4,2.225,0.074,4.160E-4,-0.004,-0.021,4.160E-4,-4.257,-0.068,4.160E-4,-1.967,-0.006,4.160E-4,-3.919,-0.015,4.160E-4,-3.926,0.008,4.160E-4,4.994,-0.001
