"Time (s) Run #1","Output Voltage, Ch V (V) Run #1","Voltage, Ch A (V) Run #1","Time (s) Run #2","Output Voltage, Ch V (V) Run #2","Voltage, Ch A (V) Run #2","Time (s) Run #3","Output Voltage, Ch V (V) Run #3","Voltage, Ch A (V) Run #3","Time (s) Run #4","Output Voltage, Ch V (V) Run #4","Voltage, Ch A (V) Run #4","Time (s) Run #5","Output Voltage, Ch V (V) Run #5","Voltage, Ch A (V) Run #5","Time (s) Run #6","Output Voltage, Ch V (V) Run #6","Voltage, Ch A (V) Run #6","Time (s) Run #7","Output Voltage, Ch V (V) Run #7","Voltage, Ch A (V) Run #7","Time (s) Run #8","Output Voltage, Ch V (V) Run #8","Voltage, Ch A (V) Run #8","Time (s) Run #9","Output Voltage, Ch V (V) Run #9","Voltage, Ch A (V) Run #9","Time (s) Run #10","Output Voltage, Ch V (V) Run #10","Voltage, Ch A (V) Run #10","Time (s) Run #11","Output Voltage, Ch V (V) Run #11","Voltage, Ch A (V) Run #11","Time (s) Run #12","Output Voltage, Ch V (V) Run #12","Voltage, Ch A (V) Run #12","Time (s) Run #13","Output Voltage, Ch V (V) Run #13","Voltage, Ch A (V) Run #13","Time (s) Run #14","Output Voltage, Ch V (V) Run #14","Voltage, Ch A (V) Run #14","Time (s) Run #15","Output Voltage, Ch V (V) Run #15","Voltage, Ch A (V) Run #15","Time (s) Run #16","Output Voltage, Ch V (V) Run #16","Voltage, Ch A (V) Run #16","Time (s) Run #17","Output Voltage, Ch V (V) Run #17","Voltage, Ch A (V) Run #17","Time (s) Run #18","Output Voltage, Ch V (V) Run #18","Voltage, Ch A (V) Run #18","Time (s) Run #19","Output Voltage, Ch V (V) Run #19","Voltage, Ch A (V) Run #19","Time (s) Run #20","Output Voltage, Ch V (V) Run #20","Voltage, Ch A (V) Run #20","Time (s) Run #21","Output Voltage, Ch V (V) Run #21","Voltage, Ch A (V) Run #21"
2.000E-5,-2.550,0.007,2.000E-5,-3.921,-0.015,2.000E-5,-4.835,0.001,2.000E-5,-3.299,0.016,2.000E-5,-3.020,-0.033,2.000E-5,-4.995,-0.040,2.000E-5,2.169,0.072,2.000E-5,-4.464,-0.097,2.000E-5,3.407,0.087,2.000E-5,3.857,0.062,2.000E-5,-4.730,-0.093,2.000E-5,0.731,0.030,2.000E-5,-4.274,-0.105,2.000E-5,-4.983,-0.120,2.000E-5,4.110,0.110,2.000E-5,-1.249,-0.059,2.000E-5,-3.502,-0.050,2.000E-5,-4.946,-0.120,2.000E-5,-3.510,-0.018,2.000E-5,1.916,0.035,2.000E-5,-3.836,-0.005
2.200E-5,-2.493,0.012,2.200E-5,-3.955,-0.011,2.200E-5,-4.811,-0.001,2.200E-5,-3.240,0.021,2.200E-5,-3.120,-0.031,2.200E-5,-5.010,-0.038,2.200E-5,2.713,0.077,2.200E-5,-4.894,-0.104,2.200E-5,4.208,0.096,2.200E-5,2.948,0.044,2.200E-5,-4.201,-0.084,2.200E-5,1.938,0.052,2.200E-5,-4.774,-0.115,2.200E-5,-4.783,-0.112,2.200E-5,4.687,0.123,2.200E-5,-1.842,-0.069,2.200E-5,-3.032,-0.039,2.200E-5,-3.723,-0.115,2.200E-5,-3.273,-0.015,2.200E-5,2.030,0.032,2.200E-5,-3.798,-0.003
2.400E-5,-2.442,0.012,2.400E-5,-3.997,-0.010,2.400E-5,-4.795,0.006,2.400E-5,-3.196,0.023,2.400E-5,-3.218,-0.028,2.400E-5,-5.004,-0.037,2.400E-5,3.225,0.085,2.400E-5,-4.999,-0.101,2.400E-5,4.737,0.102,2.400E-5,1.860,0.021,2.400E-5,-3.411,-0.059,2.400E-5,3.030,0.076,2.400E-5,-4.982,-0.116,2.400E-5,-4.282,-0.098,2.400E-5,4.963,0.126,2.400E-5,-2.415,-0.075,2.400E-5,-2.508,-0.025,2.400E-5,-1.077,-0.068,2.400E-5,-3.031,-0.006,2.400E-5,2.142,0.032,2.400E-5,-3.753,0.004
2.600E-5,-2.388,0.016,2.600E-5,-4.038,-0.012,2.600E-5,-4.782,0.005,2.600E-5,-3.145,0.023,2.600E-5,-3.310,-0.029,2.600E-5,-4.972,-0.034,2.600E-5,3.685,0.093,2.600E-5,-4.795,-0.092,2.600E-5,4.966,0.110,2.600E-5,0.642,-0.001,2.600E-5,-2.398,-0.032,2.600E-5,3.916,0.089,2.600E-5,-4.857,-0.110,2.600E-5,-3.513,-0.076,2.600E-5,4.927,0.117,2.600E-5,-2.932,-0.088,2.600E-5,-1.946,-0.010,2.600E-5,1.996,0.005,2.600E-5,-2.770,0.004,2.600E-5,2.257,0.037,2.600E-5,-3.711,0.007
2.800E-5,-2.333,0.018,2.800E-5,-4.071,-0.010,2.800E-5,-4.763,0.006,2.800E-5,-3.103,0.023,2.800E-5,-3.407,-0.027,2.800E-5,-4.920,-0.028,2.800E-5,4.075,0.097,2.800E-5,-4.284,-0.078,2.800E-5,4.875,0.106,2.800E-5,-0.608,-0.028,2.800E-5,-1.245,-0.005,2.800E-5,4.571,0.101,2.800E-5,-4.426,-0.095,2.800E-5,-2.528,-0.047,2.800E-5,4.602,0.110,2.800E-5,-3.415,-0.092,2.800E-5,-1.353,0.004,2.800E-5,4.306,0.072,2.800E-5,-2.499,0.006,2.800E-5,2.366,0.035,2.800E-5,-3.665,0.010
3.000E-5,-2.277,0.021,3.000E-5,-4.104,-0.007,3.000E-5,-4.744,0.007,3.000E-5,-3.051,0.021,3.000E-5,-3.494,-0.026,3.000E-5,-4.855,-0.028,3.000E-5,4.403,0.099,3.000E-5,-3.516,-0.056,3.000E-5,4.498,0.094,3.000E-5,-1.803,-0.051,3.000E-5,0.012,0.019,3.000E-5,4.931,0.106,3.000E-5,-3.731,-0.077,3.000E-5,-1.380,-0.021,3.000E-5,3.973,0.093,3.000E-5,-3.845,-0.092,3.000E-5,-0.739,0.021,3.000E-5,4.935,0.104,3.000E-5,-2.222,0.010,3.000E-5,2.479,0.037,3.000E-5,-3.621,0.012
3.200E-5,-2.216,0.018,3.200E-5,-4.142,-0.005,3.200E-5,-4.723,0.012,3.200E-5,-2.992,0.025,3.200E-5,-3.583,-0.023,3.200E-5,-4.769,-0.025,3.200E-5,4.667,0.099,3.200E-5,-2.528,-0.029,3.200E-5,3.835,0.077,3.200E-5,-2.892,-0.070,3.200E-5,1.247,0.047,3.200E-5,4.966,0.101,3.200E-5,-2.807,-0.058,3.200E-5,-0.134,0.010,3.200E-5,3.111,0.068,3.200E-5,-4.207,-0.095,3.200E-5,-0.114,0.032,3.200E-5,3.744,0.101,3.200E-5,-1.941,0.016,3.200E-5,2.580,0.043,3.200E-5,-3.579,0.012
3.400E-5,-2.166,0.021,3.400E-5,-4.173,-0.004,3.400E-5,-4.702,0.013,3.400E-5,-2.942,0.027,3.400E-5,-3.665,-0.021,3.400E-5,-4.654,-0.012,3.400E-5,4.856,0.094,3.400E-5,-1.380,-1.699E-4,3.400E-5,2.931,0.057,3.400E-5,-3.814,-0.081,3.400E-5,2.408,0.068,3.400E-5,4.712,0.093,3.400E-5,-1.696,-0.031,3.400E-5,1.102,0.041,3.400E-5,2.048,0.047,3.400E-5,-4.508,-0.095,3.400E-5,0.512,0.040,3.400E-5,1.129,0.055,3.400E-5,-1.648,0.021,3.400E-5,2.689,0.041,3.400E-5,-3.538,0.010
3.600E-5,-2.110,0.021,3.600E-5,-4.212,-0.004,3.600E-5,-4.678,0.013,3.600E-5,-2.888,0.029,3.600E-5,-3.747,-0.021,3.600E-5,-4.535,-0.007,3.600E-5,4.964,0.093,3.600E-5,-0.133,0.027,3.600E-5,1.838,0.032,3.600E-5,-4.491,-0.094,3.600E-5,3.424,0.085,3.600E-5,4.160,0.076,3.600E-5,-0.468,0.010,3.600E-5,2.280,0.068,3.600E-5,0.845,0.021,3.600E-5,-4.738,-0.095,3.600E-5,1.134,0.049,3.600E-5,-1.951,-0.012,3.600E-5,-1.345,0.028,3.600E-5,2.796,0.043,3.600E-5,-3.493,0.011
3.800E-5,-2.052,0.022,3.800E-5,-4.246,0.001,3.800E-5,-4.652,0.013,3.800E-5,-2.836,0.027,3.800E-5,-3.832,-0.020,3.800E-5,-4.390,-0.003,3.800E-5,4.989,0.091,3.800E-5,1.113,0.051,3.800E-5,0.614,0.008,3.800E-5,-4.882,-0.097,3.800E-5,4.226,0.099,3.800E-5,3.360,0.060,3.800E-5,0.780,0.038,3.800E-5,3.320,0.094,3.800E-5,-0.408,-0.007,3.800E-5,-4.890,-0.093,3.800E-5,1.733,0.063,3.800E-5,-4.240,-0.076,3.800E-5,-1.043,0.038,3.800E-5,2.897,0.048,3.800E-5,-3.444,0.012
